s,a,r,sp
1071,0,0,1038
1038,0,0,1005
1005,1,-2,1006
1006,2,-2,972
972,2,-2,905
905,2,-2,805
805,0,0,706
706,0,0,607
1270,2,-2,1236
1236,0,0,1203
1203,0,0,1170
1170,0,0,1137
1137,1,-2,1138
1138,0,0,1138
1138,1,-2,1172
1172,0,0,1205
1205,0,0,1238
1238,0,0,1271
1271,1,-2,1338
1338,0,0,1404
1105,0,0,1105
1105,0,0,1105
1105,1,-2,1139
1139,0,0,1172
1172,0,0,1205
1205,0,0,1238
1238,0,0,1271
1271,0,0,1304
1304,1,-2,1371
1371,0,0,1437
1437,0,0,1503
1503,1,-2,1603
1603,0,0,1702
1702,1,-2,0
1331,1,-2,1200
1200,1,-2,1102
1102,1,-2,1037
1037,0,0,971
971,2,-2,0
1268,2,-2,1168
1168,2,-2,1035
1035,1,-2,937
937,1,-2,872
872,1,-2,840
840,0,0,807
807,2,-2,740
740,0,0,674
674,0,0,608
608,2,-2,0
905,1,-2,873
873,0,0,840
840,2,-2,773
773,1,-2,0
1304,0,0,1337
1337,0,0,1370
1370,0,0,1403
1403,0,0,1436
1436,0,0,1469
1469,2,-2,1468
1468,0,0,1468
1468,0,0,1468
1468,0,0,1468
1468,2,-2,1434
1434,0,0,1401
1401,2,-2,1334
1334,2,-2,1234
1234,1,-2,1169
1169,0,0,0
1406,0,0,1538
1538,0,0,1670
1670,0,0,1802
1802,0,0,1934
1934,2,-2,0
1405,2,-2,1470
1470,0,0,1536
1536,1,-2,1636
1636,1,-2,1769
1769,0,0,1901
1901,0,0,0
1076,1,-2,1242
1242,1,-2,1441
1441,0,0,1639
1639,0,0,1837
1837,0,0,2035
2035,1,-2,2267
2267,1,-2,0
707,0,0,0
1004,0,0,938
938,0,0,872
872,0,0,806
806,1,-2,774
774,0,0,741
741,1,-2,0
1734,0,0,1800
1800,1,-2,1900
1900,2,-2,1965
1965,0,0,0
1167,1,-2,1069
1069,0,0,970
970,1,-2,905
905,0,0,0
1339,0,0,1438
1438,0,0,1537
1537,0,0,1636
1636,1,-2,1769
1769,0,0,1901
1901,2,-2,1999
1999,0,0,0
1336,2,-2,1302
1302,2,-2,1235
1235,2,-2,1135
1135,0,0,1036
1036,2,-2,903
903,2,-2,737
737,0,0,0
1333,0,0,1234
1234,0,0,1135
1135,0,0,1036
1036,1,-2,971
971,1,-2,939
939,1,-2,940
940,1,-2,0
1534,2,-2,1500
1500,0,0,1467
1467,0,0,1434
1434,0,0,1401
1401,0,0,1368
1368,1,-2,1369
1369,2,-2,1335
1335,0,0,1302
1302,0,0,1269
1269,2,-2,1202
1202,0,0,1136
1307,0,0,1439
1439,0,0,1571
1571,2,-2,1669
1669,2,-2,1734
